City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,mugia,43.1041,-9.2179,12.73,73,16,1.47,ES,1712889353
136,robertsport,6.7533,-11.3686,26.87,86,100,0.6,LR,1712889353
137,latehar,23.75,84.5,30.89,24,67,1.32,IN,1712889353
138,norrtalje,59.758,18.705,8.57,85,0,4.59,SE,1712889353
139,chatillon-sur-seiche,48.0345,-1.6711,9.08,100,93,1.54,FR,1712889353
140,yoloten,37.2989,62.3597,20.09,37,94,6.95,TM,1712889353
141,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712889195
142,isafjordur,66.0755,-23.124,-3.81,93,100,12.66,IS,1712889353
143,portland,45.5234,-122.6762,13.96,62,100,4.12,US,1712889082
144,benguela,-12.5763,13.4055,25.24,88,100,2.66,AO,1712889354
145,tucumcari,35.1717,-103.725,15.52,41,0,4.12,US,1712889354
146,fort st. john,56.2499,-120.8529,8.94,43,100,2.57,CA,1712889354
147,geraldton,-28.7667,114.6,26.23,44,4,5.66,AU,1712889079
148,sierra grande,-41.606,-65.3557,11.36,58,100,1.61,AR,1712889316
149,tazacorte,28.629,-17.9293,23.54,31,75,5.66,ES,1712889354
150,al badari,26.9926,31.4155,19.08,41,100,2.96,EG,1712889354
151,yigo village,13.5361,144.8886,30.62,73,75,6.69,GU,1712889354
152,mahibadhoo,3.7833,72.9667,29.29,72,42,0.85,MV,1712889354
153,rakops,-21.0167,24.3333,18.84,66,38,5.47,BW,1712889354
154,tsiombe,-25.3,45.4833,20.45,77,100,2.96,MG,1712889354
155,shiloh,38.5614,-89.8973,13.85,52,2,3.13,US,1712889354
156,essaouira,31.5125,-9.77,17.72,72,26,2.06,MA,1712889354
157,kulhudhuffushi,6.6221,73.07,29.59,74,83,4.08,MV,1712889354
158,smithers,54.7804,-127.1743,6.18,75,40,2.06,CA,1712889354
159,weno,7.4515,151.8468,30.97,79,100,3.09,FM,1712889354
160,zaigrayevo,51.8336,108.2703,8.43,53,100,0.8,RU,1712889354
161,viqueque,-8.8673,126.3658,28.62,68,64,3.24,TL,1712889355
162,malpils,57.0111,24.9631,9.94,92,100,5.33,LV,1712889355
163,ust-tsilma,65.441,52.1498,1.45,99,100,7.6,RU,1712889355
164,opole lubelskie,51.1478,21.969,9.27,71,42,2.74,PL,1712889355
165,general conesa,-40.1,-64.4333,13.9,44,100,3.19,AR,1712889355
166,balsas,-7.5325,-46.0356,24.69,89,58,0.78,BR,1712889355
167,sereflikochisar,38.9393,33.5386,11.16,77,21,2.7,TR,1712889355
168,lompoc,34.6391,-120.4579,20.08,80,0,3.09,US,1712889067
169,brak,27.5496,14.2714,20.42,18,71,6.73,LY,1712889355
170,tual,-5.6667,132.75,28.49,73,41,3.38,ID,1712889355
171,puerto ayora,-0.7393,-90.3518,25.86,97,77,1.34,EC,1712889355
172,iquique,-20.2208,-70.1431,21.02,75,87,1.53,CL,1712889247
173,port lincoln,-34.7333,135.8667,16.3,57,32,3.92,AU,1712889355
174,tura,25.5198,90.2201,33.73,23,2,1.0,IN,1712889355
175,umluj,25.0213,37.2685,23.02,49,6,5.08,SA,1712889355
176,axim,4.8699,-2.2405,26.27,85,99,1.89,GH,1712889356
177,valparaiso,-33.0393,-71.6273,16.67,61,75,2.06,CL,1712889335
178,tulun,54.5611,100.5792,1.48,99,100,2.79,RU,1712889356
179,taoudenni,22.6783,-3.9836,25.7,12,0,7.22,ML,1712889356
180,oroqen zizhiqi,50.5667,123.7167,13.05,50,100,1.95,CN,1712889356
181,cabo san lucas,22.8909,-109.9124,23.61,60,75,2.24,MX,1712888650
182,acarau,-2.8856,-40.12,26.07,88,99,2.51,BR,1712889356
183,cedeira,43.6797,-8.0209,15.03,80,3,0.79,ES,1712889356
184,howrah,22.5892,88.3103,29.0,54,40,0.0,IN,1712889356
185,sao raimundo nonato,-9.0153,-42.6994,23.41,94,77,0.84,BR,1712889306
186,dwarka,22.2394,68.9678,25.64,76,8,2.3,IN,1712889356
187,newman,37.3138,-121.0208,27.13,67,0,1.73,US,1712889330
188,hotan,37.0997,79.9269,22.92,10,25,2.44,CN,1712889356
189,aasiaat,68.7098,-52.8699,-8.11,97,100,2.88,GL,1712889356
190,tahoua,14.8888,5.2692,30.88,12,97,4.05,NE,1712889356
191,wolgast,54.05,13.7667,13.01,100,100,4.81,DE,1712889356
192,vilyuysk,63.7553,121.6247,-15.56,78,42,4.02,RU,1712889197
193,tubarjal,30.4999,38.216,16.17,64,0,3.74,SA,1712889356
194,kattivakkam,13.2167,80.3167,32.05,68,100,4.61,IN,1712889357
195,kisangani,0.5167,25.2,22.76,91,100,0.92,CD,1712889357
196,kalabo,-14.97,22.6814,19.42,88,49,1.33,ZM,1712889357
197,patancheru,17.5314,78.265,25.48,71,100,6.12,IN,1712889357
198,chonchi,-42.6128,-73.8092,7.29,72,0,0.8,CL,1712889096
199,antonio enes,-16.2325,39.9086,25.79,81,100,6.39,MZ,1712889357
200,iskushuban,10.2837,50.23,25.61,82,54,1.44,SO,1712889357
201,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,27,0,3.0,RU,1712889357
202,madzhalis,42.1217,47.8333,11.93,54,2,2.39,RU,1712889357
203,hithadhoo,-0.6,73.0833,28.7,73,85,3.09,MV,1712889357
204,dryden,49.7833,-92.7503,5.16,87,75,2.06,CA,1712889357
205,ca mau,9.1769,105.15,35.08,39,100,5.87,VN,1712889357
206,kuala belait,4.5833,114.1833,31.09,65,7,1.12,BN,1712889357
207,port mathurin,-19.6833,63.4167,26.83,75,31,4.94,MU,1712889357
208,safotu,-13.4513,-172.4018,29.58,80,30,4.27,WS,1712889357
209,hilo,19.7297,-155.09,22.57,99,100,1.79,US,1712889133
210,margate,51.3813,1.3862,11.61,85,94,3.13,GB,1712889358
211,katsuren-haebaru,26.3369,127.8719,25.22,68,40,4.63,JP,1712889358
212,tazovsky,67.4667,78.7,-17.87,83,100,9.66,RU,1712889358
213,pangody,65.85,74.4859,-12.18,93,100,13.26,RU,1712889139
214,wenceslau braz,-23.8739,-49.8028,19.27,91,100,3.41,BR,1712889358
215,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712889358
216,kapa'a,22.0752,-159.319,23.99,90,100,0.0,US,1712889358
